PO#,Supplier,IPN,Description,Qty On Order,Qty Ordered,Qty Received,PO Status,Order Date,Expected Date,status
8833047,Digikey,BK015-05-C-E,"5 Position Receptacle Connector 0.200"" (5.08mm) Surface Mount Tin",600,600,0,CONFIRMED,4/7/2026,4/9/2026,received
8833048,Digikey,OR5053,"16-Channel, 16-Bit, 1-MSPS, Dual, Simultaneous-Sampling ADC With Integrated Analog Front-End",21,21,0,PARTIALLY_RECEIVED,4/8/2026,4/12/2026,received
8833049,Mouser,OR4811,"Inductor, 40 nH Shielded Inductor 3.4 A 16mOhm Max Nonstandard",25,25,0,CONFIRMED,4/8/2026,4/12/2026,received
8833049,Mouser,OR4817,"IC, 555 Type, Timer/Oscillator (Single) IC 3MHz 8-TSSOP",25,25,0,CONFIRMED,4/8/2026,4/12/2026,received
8833049,Mouser,OR4983,"Transistor, MOSFET, N-Channel, 120V, 20A, Rdson: 3.2mOhm, 8-PowerTDFN (5mm x 6mm)",15,15,0,CONFIRMED,4/8/2026,4/12/2026,received
8833050,Mouser,OR5012,"Connector, 16 Position HEADER Dual Row 0.100"" (2.54mm) Surface Mount Gold",17,17,0,PARTIALLY_RECEIVED,4/8/2026,4/11/2026,received
8833053,Mouser,OR4554,Current Feedback Amplifier 1 Circuit Differential 8-WSON (3x2.5),36,36,0,PARTIALLY_RECEIVED,4/12/2026,4/14/2026,received
8833056,Digikey,RECP2MM1R10P,RECEPTACLE 2MM SIMPLE RANGÉE 10 POS,520,520,0,CONFIRMED,4/19/2026,4/21/2026,received
8833056,Digikey,173-E50-213R461,CONN D-SUB RCPT 50POS R/A SLDR,102,102,0,CONFIRMED,4/19/2026,4/21/2026,received
8833056,Digikey,EH28-3.0-02-5M0,COMMON MODE CHOKE 5MH 3A 2LN TH,52,52,0,CONFIRMED,4/19/2026,4/21/2026,received
8833057,ElectroSonic,MSR516NSR,AUDIO PIEZO INDICATOR 2-5V THl,52,52,0,CONFIRMED,4/19/2026,4/21/2026,received
8833058,Newark,HSME-C170,Green 572nm LED Indication - Discrete 2.1V 0805 (2012 Metric),2700,2700,0,CONFIRMED,4/19/2026,4/21/2026,
8833058,Newark,HSMS-C170,Red 626nm LED Indication - Discrete 2.1V 0805 (2012 Metric),200,200,0,CONFIRMED,4/19/2026,4/21/2026,
8833059,Diverse Electronics,41-233-0,Standard Sub-Miniature Toggle switch SPDT ON-ON 6A 125VAC,320,320,0,CONFIRMED,4/19/2026,4/21/2026,
8833061,Digikey,EN8605,CONN RECEPT PC-104 40POS 90MILS TH,5,5,0,PARTIALLY_RECEIVED,4/20/2026,4/22/2026,
8833062,Bristol,3130-90301,,46,46,0,CONFIRMED,4/21/2026,4/23/2026,
8833063,Mouser,SHUNT-1X2-2.54MM,Female Shunt Connecor 2 Position,100,100,0,PARTIALLY_RECEIVED,4/21/2026,4/23/2026,
8833065,Semitech,1800-90081,,3000,3000,0,CONFIRMED,4/27/2026,4/29/2026,
8833067,Digikey,OR4489,"164 Position Female Connector PCI Express Gold 0.039"" (1.00mm) Black",10,10,0,CONFIRMED,4/27/2026,4/29/2026,
8833067,Digikey,B32-1380,Red Cap tactile Square 12mmX12mm for B3F and B3W series switch,250,250,0,CONFIRMED,4/27/2026,4/29/2026,
8833067,Digikey,B32-1360,White Cap tactile Square 12mmX12mm for B3F and B3W series switch,500,500,0,CONFIRMED,4/27/2026,4/29/2026,
8833068,Digikey,GF-326-0000,Switch slide DPDT 3A 125V ON-ON,250,250,0,CONFIRMED,4/28/2026,4/30/2026,
8833069,Digikey,OR4488,Blue 470nm LED Indication - Discrete 2.8V 0603 (1608 Metric),150,150,0,CONFIRMED,4/28/2026,4/30/2026,
8833069,Digikey,OR4489,"164 Position Female Connector PCI Express Gold 0.039"" (1.00mm) Black",12,12,0,CONFIRMED,4/28/2026,4/30/2026,
8833069,Digikey,24LC04BI/SN,IC EEPROM 4KBIT I2C 400KHZ 8SOIC,75,75,0,CONFIRMED,4/28/2026,4/30/2026,
8833069,Digikey,MBRS360T3G,DIODE SCHOTTKY 60V 3A SMC,100,100,0,CONFIRMED,4/28/2026,4/30/2026,
8833069,Digikey,CES221_16VSMD,CAP ALU 220 16V 20% D:6.3 H:7.7 SMD,120,120,0,CONFIRMED,4/28/2026,4/30/2026,
